case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification_command,difficulty
NS-CASE-001,VLAN 20 missing on access switch,Finance PC gets IP in VLAN 20 range but cannot reach finance gateway 10.20.20.1 from one floor only.,SW-ACCESS-2 uplinks to SW-DIST-1 over trunk Gi0/1.,"show vlan brief\nVLAN Name Status Ports\n1 default active Fa0/1-24\n10 SALES active Fa0/10\n30 HR active Fa0/11\n\nshow interfaces trunk\nPort Mode Encapsulation Status Native vlan\nGi0/1 on 802.1q trunking 1\nPort Vlans allowed on trunk\nGi0/1 1,10,30",VLAN 20 is not created on SW-ACCESS-2 and therefore not carried by local switching database.,L2,VLAN,SEV-2,show running-config interface gi0/1,Create VLAN 20 on SW-ACCESS-2 and confirm trunk allows VLAN 20.,ping 10.20.20.1,easy
NS-CASE-002,Access port assigned to wrong VLAN,Helpdesk PC can reach guest portal but cannot access internal file server in VLAN 40.,PC connected to SW-ACCESS-1 Fa0/18 expected in VLAN 40.,show interfaces fa0/18 switchport\nName: Fa0/18\nAdministrative Mode: static access\nOperational Mode: static access\nAccess Mode VLAN: 50 (GUEST)\n\nshow vlan brief\n40 IT active Fa0/17\n50 GUEST active Fa0/18,Fa0/18 is configured in VLAN 50 instead of required VLAN 40.,L2,VLAN,SEV-3,show mac address-table interface fa0/18,Set switchport access vlan 40 on Fa0/18.,ping 10.40.40.10,easy
NS-CASE-003,Trunk native VLAN mismatch warning,Intermittent reachability between VLAN 10 hosts across two switches and CDP native VLAN mismatch logs.,Trunk between SW-CORE Gi0/2 and SW-ACCESS-3 Gi0/1.,"show interfaces trunk\nPort Mode Encapsulation Status Native vlan\nGi0/2 on 802.1q trunking 99\n\nshow cdp neighbors detail\nNative VLAN mismatch discovered on Gi0/2 (99), with SW-ACCESS-3 Gi0/1 (1).",Native VLAN mismatch on trunk causes untagged traffic handling issues.,L2,VLAN,SEV-2,show running-config interface gi0/2,Align native VLAN configuration on both trunk ends.,show interfaces trunk,medium
NS-CASE-004,VLAN pruned from trunk allowed list,Engineering users on SW-ACCESS-4 cannot reach server subnet in VLAN 60 while local switching works.,Distribution switch uplink Gi0/3 carries multiple VLANs to access layer.,"show interfaces trunk\nPort Vlans allowed on trunk\nGi0/3 1,10,20,30,40,50\nPort Vlans in spanning tree forwarding state and not pruned\nGi0/3 1,10,20,30,40,50",Required VLAN 60 is missing from trunk allowed VLAN list.,L2,VLAN,SEV-2,show vlan brief,Add VLAN 60 to allowed list on both ends of trunk.,ping 10.60.60.1,medium
NS-CASE-005,Wrong default gateway from static host config,PC can ping peers in same subnet 192.168.10.0/24 but cannot reach 192.168.20.0/24.,Single access VLAN 10 with router-on-a-stick gateway at 192.168.10.1.,PC ipconfig\nIP Address: 192.168.10.25\nSubnet Mask: 255.255.255.0\nDefault Gateway: 192.168.10.254\n\nshow ip interface brief\nGi0/0.10 192.168.10.1 up up,Host default gateway is configured as .254 instead of actual gateway .1.,L3,Default gateway,SEV-3,ping 192.168.10.1,Correct host default gateway to 192.168.10.1.,ping 192.168.20.10,easy
NS-CASE-006,Gateway interface administratively down,All users in VLAN 30 lose access to other networks after maintenance window.,SVI-based gateway on L3 switch SW-CORE.,show ip interface brief\nVlan30 10.30.30.1 administratively down down\nVlan10 10.10.10.1 up up\n\nshow running-config interface vlan30\ninterface Vlan30\n ip address 10.30.30.1 255.255.255.0\n shutdown,Gateway SVI Vlan30 is shutdown.,L3,Default gateway,SEV-2,show vlan brief,Enable interface Vlan30 with no shutdown.,ping 10.30.30.1,easy
NS-CASE-007,HSRP virtual gateway mismatch,"Some PCs in VLAN 50 can reach remote networks, others cannot after failover test.",Two distribution switches run HSRP for VLAN 50 virtual gateway 10.50.50.1.,show standby brief\nVlan50 - Group 50\n State is Active\n Virtual IP address is 10.50.50.254\n\nPC ipconfig\nDefault Gateway: 10.50.50.1,"HSRP virtual IP configured as 10.50.50.254, but hosts use 10.50.50.1.",L3,Default gateway,SEV-2,show running-config interface vlan50,Set HSRP virtual IP to 10.50.50.1 or update host gateway policy consistently.,show standby brief,medium
NS-CASE-008,Wrong mask causes off-subnet gateway perception,A single engineering workstation cannot reach gateway and ARP fails for 10.70.70.1.,Workstation in VLAN 70 with /24 design.,PC ipconfig\nIP Address: 10.70.70.25\nSubnet Mask: 255.255.0.0\nDefault Gateway: 10.70.70.1\n\nshow arp\nProtocol Address Age (min) Hardware Addr Type Interface\nInternet 10.70.70.1 - Incomplete ARPA Vlan70,Incorrect /16 subnet mask on host leads to incorrect local/remote determination and ARP behavior.,L3,Default gateway,SEV-3,ping 10.70.70.1,Set host subnet mask to 255.255.255.0.,tracert 10.80.80.10,medium
NS-CASE-009,DHCP pool network statement typo,New clients in VLAN 100 receive APIPA 169.254.x.x addresses.,Router R1 provides DHCP for VLAN 100 via helper-address.,show running-config | section dhcp\nip dhcp pool VLAN100\n network 10.100.10.0 255.255.255.0\n default-router 10.100.100.1\n\nshow ip interface vlan100\nInternet address is 10.100.100.1/24,DHCP pool network is configured for wrong subnet 10.100.10.0/24.,L7,DHCP,SEV-2,show ip dhcp binding,Correct DHCP network statement to 10.100.100.0 255.255.255.0.,ipconfig /renew,medium
NS-CASE-010,Missing ip helper-address on SVI,"Clients in VLAN 120 cannot obtain IP addresses, while VLAN 110 clients work.",Central DHCP server is in VLAN 10 at 10.10.10.50.,show running-config interface vlan120\ninterface Vlan120\n ip address 10.120.120.1 255.255.255.0\n no shutdown\n\nshow running-config interface vlan110\ninterface Vlan110\n ip helper-address 10.10.10.50,SVI for VLAN 120 lacks DHCP relay (ip helper-address).,L3,DHCP,SEV-2,show ip interface vlan120,Add ip helper-address 10.10.10.50 under interface Vlan120.,show ip dhcp relay information trusted-sources,easy
